info.debatty.jinu.examples.DummyTest;	3.0;	334;	156.3882167959248;	155.0;	
info.debatty.jinu.examples.DummyTest;	3.0;	333;	157.93038663960056;	155.0;	
info.debatty.jinu.examples.DummyTest;	3.0;	333;	154.59501057366515;	155.0;	
info.debatty.jinu.examples.DummyTest;	3.0;	334;	151.65840103388982;	155.0;	
info.debatty.jinu.examples.DummyTest;	3.0;	334;	153.2541687814988;	155.0;	
info.debatty.jinu.examples.DummyTest;	3.0;	333;	154.8807951245634;	155.0;	
info.debatty.jinu.examples.DummyTest;	3.0;	334;	149.11793929489005;	155.0;	
info.debatty.jinu.examples.DummyTest;	3.0;	333;	157.12108415253914;	155.0;	
info.debatty.jinu.examples.DummyTest;	3.0;	333;	156.15426762725343;	155.0;	
info.debatty.jinu.examples.DummyTest;	3.0;	334;	154.85300504705503;	155.0;	
info.debatty.jinu.examples.DummyTest2;	2.0;	0;	154.4035542607793;	1.0;	
info.debatty.jinu.examples.DummyTest2;	2.0;	0;	155.50141539793262;	1.0;	
info.debatty.jinu.examples.DummyTest2;	2.0;	0;	155.61442142950426;	1.0;	
info.debatty.jinu.examples.DummyTest2;	2.0;	0;	154.50354821441687;	1.0;	
info.debatty.jinu.examples.DummyTest2;	2.0;	0;	152.98075905739654;	1.0;	
info.debatty.jinu.examples.DummyTest2;	2.0;	0;	156.51402661800657;	1.0;	
info.debatty.jinu.examples.DummyTest2;	2.0;	0;	158.22526704854047;	1.0;	
info.debatty.jinu.examples.DummyTest2;	2.0;	0;	154.40118066715274;	1.0;	
info.debatty.jinu.examples.DummyTest2;	2.0;	0;	156.21932277669242;	1.0;	
info.debatty.jinu.examples.DummyTest2;	2.0;	0;	151.831163580253;	1.0;	
info.debatty.jinu.examples.DummyTest2;	4.0;	0;	153.12253833797828;	1.0;	
info.debatty.jinu.examples.DummyTest2;	4.0;	0;	158.95313218313163;	1.0;	
info.debatty.jinu.examples.DummyTest2;	4.0;	0;	158.03209882053486;	1.0;	
info.debatty.jinu.examples.DummyTest2;	4.0;	0;	158.1298928160801;	1.0;	
info.debatty.jinu.examples.DummyTest2;	4.0;	0;	155.58208409291046;	1.0;	
info.debatty.jinu.examples.DummyTest2;	4.0;	0;	158.02603495361618;	1.0;	
info.debatty.jinu.examples.DummyTest2;	4.0;	0;	161.79451832647965;	1.0;	
info.debatty.jinu.examples.DummyTest2;	4.0;	0;	154.5352242863944;	1.0;	
info.debatty.jinu.examples.DummyTest2;	4.0;	0;	163.812519157212;	1.0;	
info.debatty.jinu.examples.DummyTest2;	4.0;	0;	157.44264052441736;	1.0;	
info.debatty.jinu.examples.DummyTest;	2.0;	334;	155.1891109719997;	155.0;	
info.debatty.jinu.examples.DummyTest;	2.0;	333;	154.87668040145135;	155.0;	
info.debatty.jinu.examples.DummyTest;	2.0;	334;	154.16021949594736;	155.0;	
info.debatty.jinu.examples.DummyTest;	2.0;	334;	153.6817417231706;	155.0;	
info.debatty.jinu.examples.DummyTest;	2.0;	333;	154.37263853411503;	155.0;	
info.debatty.jinu.examples.DummyTest;	2.0;	333;	152.8380063690658;	155.0;	
info.debatty.jinu.examples.DummyTest;	2.0;	333;	155.21470987140233;	155.0;	
info.debatty.jinu.examples.DummyTest;	2.0;	334;	157.32860976934083;	155.0;	
info.debatty.jinu.examples.DummyTest;	2.0;	333;	154.0440509950806;	155.0;	
info.debatty.jinu.examples.DummyTest;	2.0;	333;	152.3996404857567;	155.0;	
info.debatty.jinu.examples.DummyTest;	4.0;	333;	153.53185777872008;	155.0;	
info.debatty.jinu.examples.DummyTest;	4.0;	333;	157.6024908277073;	155.0;	
info.debatty.jinu.examples.DummyTest;	4.0;	333;	154.53870907248236;	155.0;	
info.debatty.jinu.examples.DummyTest;	4.0;	333;	158.3030018534005;	155.0;	
info.debatty.jinu.examples.DummyTest;	4.0;	333;	152.9980847486826;	155.0;	
info.debatty.jinu.examples.DummyTest;	4.0;	334;	153.54394898504088;	155.0;	
info.debatty.jinu.examples.DummyTest;	4.0;	333;	149.6863715531475;	155.0;	
info.debatty.jinu.examples.DummyTest;	4.0;	333;	165.2446089239561;	155.0;	
info.debatty.jinu.examples.DummyTest;	4.0;	334;	148.51927757815483;	155.0;	
info.debatty.jinu.examples.DummyTest;	4.0;	333;	155.4802514226481;	155.0;	
info.debatty.jinu.examples.DummyTest2;	3.0;	0;	149.25829984233494;	1.0;	
info.debatty.jinu.examples.DummyTest2;	3.0;	0;	152.3742384487893;	1.0;	
info.debatty.jinu.examples.DummyTest2;	3.0;	0;	152.78506189520763;	1.0;	
info.debatty.jinu.examples.DummyTest2;	3.0;	0;	156.53432659159816;	1.0;	
info.debatty.jinu.examples.DummyTest2;	3.0;	0;	150.11047439057455;	1.0;	
info.debatty.jinu.examples.DummyTest2;	3.0;	0;	149.26327324592876;	1.0;	
info.debatty.jinu.examples.DummyTest2;	3.0;	0;	153.10985483533707;	1.0;	
info.debatty.jinu.examples.DummyTest2;	3.0;	0;	153.03243396233654;	1.0;	
info.debatty.jinu.examples.DummyTest2;	3.0;	0;	154.74945080680288;	1.0;	
info.debatty.jinu.examples.DummyTest2;	3.0;	0;	149.80903310028643;	1.0;	
