info.debatty.jinu.examples.DummyTest2;	2.0;	0;	157.64825594888327;	
info.debatty.jinu.examples.DummyTest2;	2.0;	0;	156.09763059724213;	
info.debatty.jinu.examples.DummyTest2;	2.0;	0;	155.8881960799545;	
info.debatty.jinu.examples.DummyTest2;	2.0;	0;	155.1147701902652;	
info.debatty.jinu.examples.DummyTest2;	2.0;	0;	156.7722395458029;	
info.debatty.jinu.examples.DummyTest2;	2.0;	0;	151.09586460001336;	
info.debatty.jinu.examples.DummyTest2;	2.0;	0;	149.95343851869336;	
info.debatty.jinu.examples.DummyTest2;	2.0;	0;	154.37983157022353;	
info.debatty.jinu.examples.DummyTest2;	2.0;	0;	151.05549065200483;	
info.debatty.jinu.examples.DummyTest2;	2.0;	0;	152.3858097667977;	
info.debatty.jinu.examples.DummyTest;	3.0;	12;	155.14628125034898;	
info.debatty.jinu.examples.DummyTest;	3.0;	13;	157.2133038361878;	
info.debatty.jinu.examples.DummyTest;	3.0;	12;	154.54746469687947;	
info.debatty.jinu.examples.DummyTest;	3.0;	12;	149.7334372694985;	
info.debatty.jinu.examples.DummyTest;	3.0;	13;	156.2602409964885;	
info.debatty.jinu.examples.DummyTest;	3.0;	12;	156.9656833328312;	
info.debatty.jinu.examples.DummyTest;	3.0;	12;	155.5958671534858;	
info.debatty.jinu.examples.DummyTest;	3.0;	12;	154.84409320386544;	
info.debatty.jinu.examples.DummyTest;	3.0;	12;	154.2681131902622;	
info.debatty.jinu.examples.DummyTest;	3.0;	12;	157.31978555200803;	
info.debatty.jinu.examples.DummyTest;	2.0;	13;	154.18132835240462;	
info.debatty.jinu.examples.DummyTest;	2.0;	13;	154.71605288083796;	
info.debatty.jinu.examples.DummyTest;	2.0;	13;	152.82066658205568;	
info.debatty.jinu.examples.DummyTest;	2.0;	12;	156.9794038045469;	
info.debatty.jinu.examples.DummyTest;	2.0;	12;	152.64488703513396;	
info.debatty.jinu.examples.DummyTest;	2.0;	12;	155.9380716832254;	
info.debatty.jinu.examples.DummyTest;	2.0;	12;	151.8683462806589;	
info.debatty.jinu.examples.DummyTest;	2.0;	12;	153.2192433414784;	
info.debatty.jinu.examples.DummyTest;	2.0;	12;	154.0266849944009;	
info.debatty.jinu.examples.DummyTest;	2.0;	12;	153.85645065074198;	
info.debatty.jinu.examples.DummyTest2;	4.0;	0;	151.42311210625365;	
info.debatty.jinu.examples.DummyTest2;	4.0;	0;	158.00968616089003;	
info.debatty.jinu.examples.DummyTest2;	4.0;	0;	153.6961143448316;	
info.debatty.jinu.examples.DummyTest2;	4.0;	0;	157.35387370664864;	
info.debatty.jinu.examples.DummyTest2;	4.0;	0;	157.31547346100692;	
info.debatty.jinu.examples.DummyTest2;	4.0;	0;	153.83093295225794;	
info.debatty.jinu.examples.DummyTest2;	4.0;	0;	156.6550075791832;	
info.debatty.jinu.examples.DummyTest2;	4.0;	0;	160.38218127438898;	
info.debatty.jinu.examples.DummyTest2;	4.0;	0;	156.56038532506426;	
info.debatty.jinu.examples.DummyTest2;	4.0;	0;	158.64625399014525;	
info.debatty.jinu.examples.DummyTest2;	3.0;	0;	153.30328867812315;	
info.debatty.jinu.examples.DummyTest2;	3.0;	0;	153.65751642841988;	
info.debatty.jinu.examples.DummyTest2;	3.0;	0;	160.01799210642722;	
info.debatty.jinu.examples.DummyTest2;	3.0;	1;	161.84024365233108;	
info.debatty.jinu.examples.DummyTest2;	3.0;	0;	154.63040299215305;	
info.debatty.jinu.examples.DummyTest2;	3.0;	0;	149.89293748498864;	
info.debatty.jinu.examples.DummyTest2;	3.0;	0;	155.83702523872577;	
info.debatty.jinu.examples.DummyTest2;	3.0;	0;	152.31287505097055;	
info.debatty.jinu.examples.DummyTest2;	3.0;	0;	154.8486301042786;	
info.debatty.jinu.examples.DummyTest2;	3.0;	0;	156.69481961492704;	
info.debatty.jinu.examples.DummyTest;	4.0;	13;	158.7114204073728;	
info.debatty.jinu.examples.DummyTest;	4.0;	12;	153.8977657644553;	
info.debatty.jinu.examples.DummyTest;	4.0;	12;	162.42470790278657;	
info.debatty.jinu.examples.DummyTest;	4.0;	12;	150.45439630992786;	
info.debatty.jinu.examples.DummyTest;	4.0;	12;	153.1224526239908;	
info.debatty.jinu.examples.DummyTest;	4.0;	12;	151.68018531503148;	
info.debatty.jinu.examples.DummyTest;	4.0;	12;	155.95579938735648;	
info.debatty.jinu.examples.DummyTest;	4.0;	12;	150.1664877130932;	
info.debatty.jinu.examples.DummyTest;	4.0;	13;	153.8743312367125;	
info.debatty.jinu.examples.DummyTest;	4.0;	12;	157.76417532972897;	
